name,per,calories,protein,fat,carbs,per_unit_grams,count_unit
# === FISH & SEAFOOD (魚介類) - Per 100g ===
ラズベリー,100g,58,1.2,0.6,12,,
らずべりー,100g,58,1.2,0.6,12,,
Blackberry,100g,50,1.3,0.5,10,,
ブラックベリー,100g,50,1.3,0.5,10,,
ぶらっくべりー,100g,50,1.3,0.5,10,,
Mango,100g,67,0.8,0.4,15,,
マンゴー,100g,67,0.8,0.4,15,,
まんごー,100g,67,0.8,0.4,15,,
Alphonso,100g,67,0.8,0.4,15,,
Haden,100g,67,0.8,0.4,15,,
Papaya,100g,47,0.5,0.1,11,,
パパイヤ,100g,47,0.5,0.1,11,,
ぱぱいや,100g,47,0.5,0.1,11,,
Cantaloupe,100g,37,0.8,0.2,8,,
カンタロープ,100g,37,0.8,0.2,8,,
かんたろーぷ,100g,37,0.8,0.2,8,,
Honeydew,100g,41,0.7,0.2,9,,
ハニーデュー,100g,41,0.7,0.2,9,,
はにーでゅー,100g,41,0.7,0.2,9,,
Persian Melon,100g,37,0.7,0.2,8,,
ペルシアンメロン,100g,37,0.7,0.2,8,,
ぺるしあんめろん,100g,37,0.7,0.2,8,,
Pomegranate,100g,82,1,0.2,19,,
ザクロ,100g,82,1,0.2,19,,
ざくろ,100g,82,1,0.2,19,,
Clementine,100g,52,0.8,0.1,12,,
クレメンタイン,100g,52,0.8,0.1,12,,
くれめんたいん,100g,52,0.8,0.1,12,,
Coconut,100g,370,3.3,33,15,,
ココナッツ,100g,370,3.3,33,15,,
ここなっつ,100g,370,3.3,33,15,,
Dried,100g,370,3.3,33,15,,
Raw,100g,370,3.3,33,15,,
Lychee,100g,75,0.8,0.4,17,,
ライチ,100g,75,0.8,0.4,17,,
らいち,100g,75,0.8,0.4,17,,
Mandarinquat,100g,48,0.9,0.1,11,,
マンダリンカット,100g,48,0.9,0.1,11,,
まんだりんかっと,100g,48,0.9,0.1,11,,
Passion Fruit,100g,100,1,0.4,23,,
パッションフルーツ,100g,100,1,0.4,23,,
ぱっしょんふるーつ,100g,100,1,0.4,23,,
Dragon Fruit,100g,51,1,0.3,11,,
ドラゴンフルーツ,100g,51,1,0.3,11,,
どらごんふるーつ,100g,51,1,0.3,11,,
Starfruit,100g,30,0.3,0.1,7,,
スターフルーツ,100g,30,0.3,0.1,7,,
すたーふるーつ,100g,30,0.3,0.1,7,,
Grapes (Green),100g,72,0.6,0.2,17,,
Muscat,100g,72,0.6,0.2,17,,
Grapes (Red),100g,72,0.6,0.2,17,,
Fig (Dried),100g,270,3.6,0.4,63,,
Apple (Green),100g,59,0.3,0.2,14,,
Granny Smith,100g,59,0.3,0.2,14,,
Pear (Asian),100g,54,0.4,0.1,13,,
Nashi,100g,54,0.4,0.1,13,,
Cherry Tomato,100g,17,0.9,0.2,3,,
ミニトマト,100g,17,0.9,0.2,3,,
みにとまと,100g,17,0.9,0.2,3,,
Umeboshi,100g,27,0.5,0.1,6,,
梅干し,100g,27,0.5,0.1,6,,
うめぼし,100g,27,0.5,0.1,6,,
ウメボシ,100g,27,0.5,0.1,6,,
Raspberry (Frozen),100g,58,1.2,0.6,12,,
ラズベリー,100g,58,1.2,0.6,12,,
らずべりー,100g,58,1.2,0.6,12,,
